pdb_id,title,journal,authors,doi,pmid,got_paper
6XC4,Structural basis of a shared antibody response to SARS-CoV-2.,Science,"['Yuan, M.', 'Liu, H.', 'Wu, N.C.', 'Lee, C.D.', 'Zhu, X.', 'Zhao, F.', 'Huang, D.', 'Yu, W.', 'Hua, Y.', 'Tien, H.', 'Rogers, T.F.', 'Landais, E.', 'Sok, D.', 'Jardine, J.G.', 'Burton, D.R.', 'Wilson, I.A.']",10.1126/science.abd2321,32661058.0,True
6XCM,Structures of Human Antibodies Bound to SARS-CoV-2 Spike Reveal Common Epitopes and Recurrent Features of Antibodies.,Cell,"['Barnes, C.O.', 'West Jr., A.P.', 'Huey-Tubman, K.E.', 'Hoffmann, M.A.G.', 'Sharaf, N.G.', 'Hoffman, P.R.', 'Koranda, N.', 'Gristick, H.B.', 'Gaebler, C.', 'Muecksch, F.', 'Lorenzi, J.C.C.', 'Finkin, S.', 'Hagglof, T.', 'Hurley, A.', 'Millard, K.G.', 'Weisblum, Y.', 'Schmidt, F.', 'Hatziioannou, T.', 'Bieniasz, P.D.', 'Caskey, M.', 'Robbiani, D.F.', 'Nussenzweig, M.C.', 'Bjorkman, P.J.']",10.1016/j.cell.2020.06.025,32645326.0,True
6XDG,Studies in humanized mice and convalescent humans yield a SARS-CoV-2 antibody cocktail.,Science,"['Hansen, J.', 'Baum, A.', 'Pascal, K.E.', 'Russo, V.', 'Giordano, S.', 'Wloga, E.', 'Fulton, B.O.', 'Yan, Y.', 'Koon, K.', 'Patel, K.', 'Chung, K.M.', 'Hermann, A.', 'Ullman, E.', 'Cruz, J.', 'Rafique, A.', 'Huang, T.', 'Fairhurst, J.', 'Libertiny, C.', 'Malbec, M.', 'Lee, W.Y.', 'Welsh, R.', 'Farr, G.', 'Pennington, S.', 'Deshpande, D.', 'Cheng, J.', 'Watty, A.', 'Bouffard, P.', 'Babb, R.', 'Levenkova, N.', 'Chen, C.', 'Zhang, B.', 'Romero Hernandez, A.', 'Saotome, K.', 'Zhou, Y.', 'Franklin, M.', 'Sivapalasingam, S.', 'Lye, D.C.', 'Weston, S.', 'Logue, J.', 'Haupt, R.', 'Frieman, M.', 'Chen, G.', 'Olson, W.', 'Murphy, A.J.', 'Stahl, N.', 'Yancopoulos, G.D.', 'Kyratsous, C.A.']",10.1126/science.abd0827,32540901.0,True
6XKP,A Therapeutic Non-self-reactive SARS-CoV-2 Antibody Protects from Lung Pathology in a COVID-19 Hamster Model.,Cell,"['Kreye, J.', 'Reincke, S.M.', 'Kornau, H.C.', 'Sanchez-Sendin, E.', 'Corman, V.M.', 'Liu, H.', 'Yuan, M.', 'Wu, N.C.', 'Zhu, X.', 'Lee, C.D.', 'Trimpert, J.', 'Holtje, M.', 'Dietert, K.', 'Stoffler, L.', 'von Wardenburg, N.', 'van Hoof, S.', 'Homeyer, M.A.', 'Hoffmann, J.', 'Abdelgawad, A.', 'Gruber, A.D.', 'Bertzbach, L.D.', 'Vladimirova, D.', 'Li, L.Y.', 'Barthel, P.C.', 'Skriner, K.', 'Hocke, A.C.', 'Hippenstiel, S.', 'Witzenrath, M.', 'Suttorp, N.', 'Kurth, F.', 'Franke, C.', 'Endres, M.', 'Schmitz, D.', 'Jeworowski, L.M.', 'Richter, A.', 'Schmidt, M.L.', 'Schwarz, T.', 'Muller, M.A.', 'Drosten, C.', 'Wendisch, D.', 'Sander, L.E.', 'Osterrieder, N.', 'Wilson, I.A.', 'Pruss, H.']",10.1016/j.cell.2020.09.049,33058755.0,True
6XKQ,A Therapeutic Non-self-reactive SARS-CoV-2 Antibody Protects from Lung Pathology in a COVID-19 Hamster Model.,Cell,"['Kreye, J.', 'Reincke, S.M.', 'Kornau, H.C.', 'Sanchez-Sendin, E.', 'Corman, V.M.', 'Liu, H.', 'Yuan, M.', 'Wu, N.C.', 'Zhu, X.', 'Lee, C.D.', 'Trimpert, J.', 'Holtje, M.', 'Dietert, K.', 'Stoffler, L.', 'von Wardenburg, N.', 'van Hoof, S.', 'Homeyer, M.A.', 'Hoffmann, J.', 'Abdelgawad, A.', 'Gruber, A.D.', 'Bertzbach, L.D.', 'Vladimirova, D.', 'Li, L.Y.', 'Barthel, P.C.', 'Skriner, K.', 'Hocke, A.C.', 'Hippenstiel, S.', 'Witzenrath, M.', 'Suttorp, N.', 'Kurth, F.', 'Franke, C.', 'Endres, M.', 'Schmitz, D.', 'Jeworowski, L.M.', 'Richter, A.', 'Schmidt, M.L.', 'Schwarz, T.', 'Muller, M.A.', 'Drosten, C.', 'Wendisch, D.', 'Sander, L.E.', 'Osterrieder, N.', 'Wilson, I.A.', 'Pruss, H.']",10.1016/j.cell.2020.09.049,33058755.0,True
6YOR,Neutralization of SARS-CoV-2 by Destruction of the Prefusion Spike.,Cell Host Microbe,"['Huo, J.', 'Zhao, Y.', 'Ren, J.', 'Zhou, D.', 'Duyvesteyn, H.M.E.', 'Ginn, H.M.', 'Carrique, L.', 'Malinauskas, T.', 'Ruza, R.R.', 'Shah, P.N.M.', 'Tan, T.K.', 'Rijal, P.', 'Coombes, N.', 'Bewley, K.R.', 'Tree, J.A.', 'Radecke, J.', 'Paterson, N.G.', 'Supasa, P.', 'Mongkolsapaya, J.', 'Screaton, G.R.', 'Carroll, M.', 'Townsend, A.', 'Fry, E.E.', 'Owens, R.J.', 'Stuart, D.I.']",10.1016/j.chom.2020.06.010,32585135.0,True
7A5R,Antibody-mediated disruption of the SARS-CoV-2 spike glycoprotein.,Nat Commun,"['Wrobel, A.G.', 'Benton, D.J.', 'Hussain, S.', 'Harvey, R.', 'Martin, S.R.', 'Roustan, C.', 'Rosenthal, P.B.', 'Skehel, J.J.', 'Gamblin, S.J.']",10.1038/s41467-020-19146-5,33087721.0,True
7AKD,Structural insights into the cross-neutralization of SARS-CoV and SARS-CoV-2 by the human monoclonal antibody 47D11.,Sci Adv,"['Fedry, J.', 'Hurdiss, D.L.', 'Wang, C.', 'Li, W.', 'Obal, G.', 'Drulyte, I.', 'Du, W.', 'Howes, S.C.', 'van Kuppeveld, F.J.M.', 'Forster, F.', 'Bosch, B.J.']",10.1126/sciadv.abf5632,33958322.0,True
7B3O,A SARS-CoV-2 neutralizing antibody selected from COVID-19 patients binds to the ACE2-RBD interface and is tolerant to most known RBD mutations.,Cell Rep,"['Bertoglio, F.', 'Fuhner, V.', 'Ruschig, M.', 'Heine, P.A.', 'Abassi, L.', 'Klunemann, T.', 'Rand, U.', 'Meier, D.', 'Langreder, N.', 'Steinke, S.', 'Ballmann, R.', 'Schneider, K.T.', 'Roth, K.D.R.', 'Kuhn, P.', 'Riese, P.', 'Schackermann, D.', 'Korn, J.', 'Koch, A.', 'Chaudhry, M.Z.', 'Eschke, K.', 'Kim, Y.', 'Zock-Emmenthal, S.', 'Becker, M.', 'Scholz, M.', 'Moreira, G.M.S.G.', 'Wenzel, E.V.', 'Russo, G.', 'Garritsen, H.S.P.', 'Casu, S.', 'Gerstner, A.', 'Roth, G.', 'Adler, J.', 'Trimpert, J.', 'Hermann, A.', 'Schirrmann, T.', 'Dubel, S.', 'Frenzel, A.', 'Van den Heuvel, J.', 'Cicin-Sain, L.', 'Schubert, M.', 'Hust, M.']",10.1016/j.celrep.2021.109433,34273271.0,True
7BWJ,Human neutralizing antibodies elicited by SARS-CoV-2 infection.,Nature,"['Ju, B.', 'Zhang, Q.', 'Ge, J.', 'Wang, R.', 'Sun, J.', 'Ge, X.', 'Yu, J.', 'Shan, S.', 'Zhou, B.', 'Song, S.', 'Tang, X.', 'Yu, J.', 'Lan, J.', 'Yuan, J.', 'Wang, H.', 'Zhao, J.', 'Zhang, S.', 'Wang, Y.', 'Shi, X.', 'Liu, L.', 'Zhao, J.', 'Wang, X.', 'Zhang, Z.', 'Zhang, L.']",10.1038/s41586-020-2380-z,32454513.0,True
7BYR,Potent Neutralizing Antibodies against SARS-CoV-2 Identified by High-Throughput Single-Cell Sequencing of Convalescent Patients' B Cells.,Cell,"['Cao, Y.', 'Su, B.', 'Guo, X.', 'Sun, W.', 'Deng, Y.', 'Bao, L.', 'Zhu, Q.', 'Zhang, X.', 'Zheng, Y.', 'Geng, C.', 'Chai, X.', 'He, R.', 'Li, X.', 'Lv, Q.', 'Zhu, H.', 'Deng, W.', 'Xu, Y.', 'Wang, Y.', 'Qiao, L.', 'Tan, Y.', 'Song, L.', 'Wang, G.', 'Du, X.', 'Gao, N.', 'Liu, J.', 'Xiao, J.', 'Su, X.D.', 'Du, Z.', 'Feng, Y.', 'Qin, C.', 'Qin, C.', 'Jin, R.', 'Xie, X.S.']",10.1016/j.cell.2020.05.025,32425270.0,False
7C01,A human neutralizing antibody targets the receptor-binding site of SARS-CoV-2.,Nature,"['Shi, R.', 'Shan, C.', 'Duan, X.', 'Chen, Z.', 'Liu, P.', 'Song, J.', 'Song, T.', 'Bi, X.', 'Han, C.', 'Wu, L.', 'Gao, G.', 'Hu, X.', 'Zhang, Y.', 'Tong, Z.', 'Huang, W.', 'Liu, W.J.', 'Wu, G.', 'Zhang, B.', 'Wang, L.', 'Qi, J.', 'Feng, H.', 'Wang, F.S.', 'Wang, Q.', 'Gao, G.F.', 'Yuan, Z.', 'Yan, J.']",10.1038/s41586-020-2381-y,32454512.0,True
7CAC,Structural basis for neutralization of SARS-CoV-2 and SARS-CoV by a potent therapeutic antibody.,Science,"['Lv, Z.', 'Deng, Y.Q.', 'Ye, Q.', 'Cao, L.', 'Sun, C.Y.', 'Fan, C.', 'Huang, W.', 'Sun, S.', 'Sun, Y.', 'Zhu, L.', 'Chen, Q.', 'Wang, N.', 'Nie, J.', 'Cui, Z.', 'Zhu, D.', 'Shaw, N.', 'Li, X.F.', 'Li, Q.', 'Xie, L.', 'Wang, Y.', 'Rao, Z.', 'Qin, C.F.', 'Wang, X.']",10.1126/science.abc5881,32703908.0,True
7CDI,Antibody neutralization of SARS-CoV-2 through ACE2 receptor mimicry.,Nat Commun,"['Ge, J.', 'Wang, R.', 'Ju, B.', 'Zhang, Q.', 'Sun, J.', 'Chen, P.', 'Zhang, S.', 'Tian, Y.', 'Shan, S.', 'Cheng, L.', 'Zhou, B.', 'Song, S.', 'Zhao, J.', 'Wang, H.', 'Shi, X.', 'Ding, Q.', 'Liu, L.', 'Zhao, J.', 'Zhang, Z.', 'Wang, X.', 'Zhang, L.']",10.1038/s41467-020-20501-9,33431856.0,True
7CDJ,Antibody neutralization of SARS-CoV-2 through ACE2 receptor mimicry.,Nat Commun,"['Ge, J.', 'Wang, R.', 'Ju, B.', 'Zhang, Q.', 'Sun, J.', 'Chen, P.', 'Zhang, S.', 'Tian, Y.', 'Shan, S.', 'Cheng, L.', 'Zhou, B.', 'Song, S.', 'Zhao, J.', 'Wang, H.', 'Shi, X.', 'Ding, Q.', 'Liu, L.', 'Zhao, J.', 'Zhang, Z.', 'Wang, X.', 'Zhang, L.']",10.1038/s41467-020-20501-9,33431856.0,True
7CH4,Structurally Resolved SARS-CoV-2 Antibody Shows High Efficacy in Severely Infected Hamsters and Provides a Potent Cocktail Pairing Strategy.,Cell,"['Du, S.', 'Cao, Y.', 'Zhu, Q.', 'Yu, P.', 'Qi, F.', 'Wang, G.', 'Du, X.', 'Bao, L.', 'Deng, W.', 'Zhu, H.', 'Liu, J.', 'Nie, J.', 'Zheng, Y.', 'Liang, H.', 'Liu, R.', 'Gong, S.', 'Xu, H.', 'Yisimayi, A.', 'Lv, Q.', 'Wang, B.', 'He, R.', 'Han, Y.', 'Zhao, W.', 'Bai, Y.', 'Qu, Y.', 'Gao, X.', 'Ji, C.', 'Wang, Q.', 'Gao, N.', 'Huang, W.', 'Wang, Y.', 'Xie, X.S.', 'Su, X.D.', 'Xiao, J.', 'Qin, C.']",10.1016/j.cell.2020.09.035,32970990.0,True
7CH5,Structurally Resolved SARS-CoV-2 Antibody Shows High Efficacy in Severely Infected Hamsters and Provides a Potent Cocktail Pairing Strategy.,Cell,"['Du, S.', 'Cao, Y.', 'Zhu, Q.', 'Yu, P.', 'Qi, F.', 'Wang, G.', 'Du, X.', 'Bao, L.', 'Deng, W.', 'Zhu, H.', 'Liu, J.', 'Nie, J.', 'Zheng, Y.', 'Liang, H.', 'Liu, R.', 'Gong, S.', 'Xu, H.', 'Yisimayi, A.', 'Lv, Q.', 'Wang, B.', 'He, R.', 'Han, Y.', 'Zhao, W.', 'Bai, Y.', 'Qu, Y.', 'Gao, X.', 'Ji, C.', 'Wang, Q.', 'Gao, N.', 'Huang, W.', 'Wang, Y.', 'Xie, X.S.', 'Su, X.D.', 'Xiao, J.', 'Qin, C.']",10.1016/j.cell.2020.09.035,32970990.0,True
7CHB,Structurally Resolved SARS-CoV-2 Antibody Shows High Efficacy in Severely Infected Hamsters and Provides a Potent Cocktail Pairing Strategy.,Cell,"['Du, S.', 'Cao, Y.', 'Zhu, Q.', 'Yu, P.', 'Qi, F.', 'Wang, G.', 'Du, X.', 'Bao, L.', 'Deng, W.', 'Zhu, H.', 'Liu, J.', 'Nie, J.', 'Zheng, Y.', 'Liang, H.', 'Liu, R.', 'Gong, S.', 'Xu, H.', 'Yisimayi, A.', 'Lv, Q.', 'Wang, B.', 'He, R.', 'Han, Y.', 'Zhao, W.', 'Bai, Y.', 'Qu, Y.', 'Gao, X.', 'Ji, C.', 'Wang, Q.', 'Gao, N.', 'Huang, W.', 'Wang, Y.', 'Xie, X.S.', 'Su, X.D.', 'Xiao, J.', 'Qin, C.']",10.1016/j.cell.2020.09.035,32970990.0,True
7CHH,Structurally Resolved SARS-CoV-2 Antibody Shows High Efficacy in Severely Infected Hamsters and Provides a Potent Cocktail Pairing Strategy.,Cell,"['Du, S.', 'Cao, Y.', 'Zhu, Q.', 'Yu, P.', 'Qi, F.', 'Wang, G.', 'Du, X.', 'Bao, L.', 'Deng, W.', 'Zhu, H.', 'Liu, J.', 'Nie, J.', 'Zheng, Y.', 'Liang, H.', 'Liu, R.', 'Gong, S.', 'Xu, H.', 'Yisimayi, A.', 'Lv, Q.', 'Wang, B.', 'He, R.', 'Han, Y.', 'Zhao, W.', 'Bai, Y.', 'Qu, Y.', 'Gao, X.', 'Ji, C.', 'Wang, Q.', 'Gao, N.', 'Huang, W.', 'Wang, Y.', 'Xie, X.S.', 'Su, X.D.', 'Xiao, J.', 'Qin, C.']",10.1016/j.cell.2020.09.035,32970990.0,True
7CHO,Potent and protective IGHV3-53/3-66 public antibodies and their shared escape mutant on the spike of SARS-CoV-2.,Nat Commun,"['Zhang, Q.', 'Ju, B.', 'Ge, J.', 'Chan, J.F.', 'Cheng, L.', 'Wang, R.', 'Huang, W.', 'Fang, M.', 'Chen, P.', 'Zhou, B.', 'Song, S.', 'Shan, S.', 'Yan, B.', 'Zhang, S.', 'Ge, X.', 'Yu, J.', 'Zhao, J.', 'Wang, H.', 'Liu, L.', 'Lv, Q.', 'Fu, L.', 'Shi, X.', 'Yuen, K.Y.', 'Liu, L.', 'Wang, Y.', 'Chen, Z.', 'Zhang, L.', 'Wang, X.', 'Zhang, Z.']",10.1038/s41467-021-24514-w,34244522.0,True
7CHP,Potent and protective IGHV3-53/3-66 public antibodies and their shared escape mutant on the spike of SARS-CoV-2.,Nat Commun,"['Zhang, Q.', 'Ju, B.', 'Ge, J.', 'Chan, J.F.', 'Cheng, L.', 'Wang, R.', 'Huang, W.', 'Fang, M.', 'Chen, P.', 'Zhou, B.', 'Song, S.', 'Shan, S.', 'Yan, B.', 'Zhang, S.', 'Ge, X.', 'Yu, J.', 'Zhao, J.', 'Wang, H.', 'Liu, L.', 'Lv, Q.', 'Fu, L.', 'Shi, X.', 'Yuen, K.Y.', 'Liu, L.', 'Wang, Y.', 'Chen, Z.', 'Zhang, L.', 'Wang, X.', 'Zhang, Z.']",10.1038/s41467-021-24514-w,34244522.0,True
7CHS,Potent and protective IGHV3-53/3-66 public antibodies and their shared escape mutant on the spike of SARS-CoV-2.,Nat Commun,"['Zhang, Q.', 'Ju, B.', 'Ge, J.', 'Chan, J.F.', 'Cheng, L.', 'Wang, R.', 'Huang, W.', 'Fang, M.', 'Chen, P.', 'Zhou, B.', 'Song, S.', 'Shan, S.', 'Yan, B.', 'Zhang, S.', 'Ge, X.', 'Yu, J.', 'Zhao, J.', 'Wang, H.', 'Liu, L.', 'Lv, Q.', 'Fu, L.', 'Shi, X.', 'Yuen, K.Y.', 'Liu, L.', 'Wang, Y.', 'Chen, Z.', 'Zhang, L.', 'Wang, X.', 'Zhang, Z.']",10.1038/s41467-021-24514-w,34244522.0,True
7CJF,A SARS-CoV-2 neutralizing antibody with extensive Spike binding coverage and modified for optimal therapeutic outcomes.,Nat Commun,"['Guo, Y.', 'Huang, L.', 'Zhang, G.', 'Yao, Y.', 'Zhou, H.', 'Shen, S.', 'Shen, B.', 'Li, B.', 'Li, X.', 'Zhang, Q.', 'Chen, M.', 'Chen, D.', 'Wu, J.', 'Fu, D.', 'Zeng, X.', 'Feng, M.', 'Pi, C.', 'Wang, Y.', 'Zhou, X.', 'Lu, M.', 'Li, Y.', 'Fang, Y.', 'Lu, Y.Y.', 'Hu, X.', 'Wang, S.', 'Zhang, W.', 'Gao, G.', 'Adrian, F.', 'Wang, Q.', 'Yu, F.', 'Peng, Y.', 'Gabibov, A.G.', 'Min, J.', 'Wang, Y.', 'Huang, H.', 'Stepanov, A.', 'Zhang, W.', 'Cai, Y.', 'Liu, J.', 'Yuan, Z.', 'Zhang, C.', 'Lou, Z.', 'Deng, F.', 'Zhang, H.', 'Shan, C.', 'Schweizer, L.', 'Sun, K.', 'Rao, Z.']",10.1038/s41467-021-22926-2,33976198.0,True
7EAM,Cross-neutralizing antibodies bind a SARS-CoV-2 cryptic site and resist circulating variants.,Nat Commun,"['Li, T.', 'Xue, W.', 'Zheng, Q.', 'Song, S.', 'Yang, C.', 'Xiong, H.', 'Zhang, S.', 'Hong, M.', 'Zhang, Y.', 'Yu, H.', 'Zhang, Y.', 'Sun, H.', 'Huang, Y.', 'Deng, T.', 'Chi, X.', 'Li, J.', 'Wang, S.', 'Zhou, L.', 'Chen, T.', 'Wang, Y.', 'Cheng, T.', 'Zhang, T.', 'Yuan, Q.', 'Zhao, Q.', 'Zhang, J.', 'McLellan, J.S.', 'Zhou, Z.H.', 'Zhang, Z.', 'Li, S.', 'Gu, Y.', 'Xia, N.']",10.1038/s41467-021-25997-3,,True
7EAN,Cross-neutralizing antibodies bind a SARS-CoV-2 cryptic site and resist circulating variants.,Nat Commun,"['Li, T.', 'Xue, W.', 'Zheng, Q.', 'Song, S.', 'Yang, C.', 'Xiong, H.', 'Zhang, S.', 'Hong, M.', 'Zhang, Y.', 'Yu, H.', 'Zhang, Y.', 'Sun, H.', 'Huang, Y.', 'Deng, T.', 'Chi, X.', 'Li, J.', 'Wang, S.', 'Zhou, L.', 'Chen, T.', 'Wang, Y.', 'Cheng, T.', 'Zhang, T.', 'Yuan, Q.', 'Zhao, Q.', 'Zhang, J.', 'McLellan, J.S.', 'Zhou, Z.H.', 'Zhang, Z.', 'Li, S.', 'Gu, Y.', 'Xia, N.']",10.1038/s41467-021-25997-3,34580306.0,True
