doi,title,journal,authors,date,source,pmid,pmc,genbank,pdb,accession,protein,nucleotide,geninfo,refseq
10.1016/j.cell.2020.08.012,Deep Mutational Scanning of SARS-CoV-2 Receptor Binding Domain Reveals Constraints on Folding and ACE2 Binding.,Cell,"['Starr, T.N.', 'Greaney, A.J.', 'Hilton, S.K.', 'Ellis, D.', 'Crawford, K.H.D.', 'Dingens, A.S.', 'Navarro, M.J.', 'Bowen, J.E.', 'Tortorici, M.A.', 'Walls, A.C.', 'King, N.P.', 'Veesler, D.', 'Bloom, J.D.']",2020-08-26,pubmed,32841599,7418704,True,True,True,True,True,False,True
10.1101/2021.05.26.445838,Reduced sensitivity of infectious SARS-CoV-2 variant B.1.617.2 to monoclonal antibodies and sera from convalescent and vaccinated individuals,bioRxiv : the preprint server for biology,"['Planas, D.', 'Veyer, D.', 'Baidaliuk, A.', 'Staropoli, I.', 'Guivel-Benhassine, F.', 'Rajah, M.', 'Planchais, C.', 'Porrot, F.', 'Robillard, N.', 'Puech, J.', 'Prot, M.', 'Gallais, F.', 'Gantner, P.', 'Velay, A.', 'LeGuen, J.', 'Kassis-Chikhani, N.', 'Edriss, D.', 'Belec, L.', 'Seve, A.', 'Pere, H.', 'Courtellemenont, L.', 'Hocqueloux, L.', 'Fafi-Kremer, S.', 'Prazuck, T.', 'Mouquet, H.', 'Bruel, T.', 'Simon-Loriere, E.', 'Rey, F.', 'Schwartz, O.']",2021-05-27,biorxiv,,,False,True,True,True,True,False,False
10.1101/2021.10.28.465226,A Potential Novel COVID-19 Vaccine With RBD-HR1/HR2 Hexamer Structure,bioRxiv : the preprint server for biology,"['Liu, H.', 'Gao, X.', 'Wang, G.', 'Zhang, J.', 'Zhou, J.', 'Wei, T.', 'Zhang, Y.', 'Liu, Y.', 'Piao, J.', 'Zhang, Q.', 'Wang, Y.', 'Ma, X.', 'Zhu, X.', 'Rao, Y.', 'Xia, W.', 'Xie, H.', 'Zhang, W.']",2021-10-29,biorxiv,,,False,False,False,True,False,False,False
10.1101/2021.09.08.459398,No substantial pre-existing B cell immunity against SARS-CoV-2 in healthy adults,bioRxiv : the preprint server for biology,"['Ercanoglu, M.S.', 'Gieselmann, L.', 'Daehling, S.', 'Poopalasingam, N.', 'Detmer, S.', 'Koch, M.', 'Korenkov, M.', 'Halwe, S.', 'Kluever, M.', 'DiCristanziano, V.', 'Janicki, U.H.', 'Schlotz, M.', 'Worczinski, J.', 'Gathof, B.', 'Gruell, H.', 'Zehner, M.', 'Becker, S.', 'Vanshylla, K.', 'Kreer, C.', 'Klein, F.']",2021-09-08,biorxiv,,,True,False,False,True,True,False,False
10.4269/ajtmh.20-1420,A Low-Cost SARS-CoV-2 rRBD ELISA to Detect Serostatus in Ecuadorian Population with COVID-19.,The American journal of tropical medicine and hygiene,"['Guevara, ', 'Vivero, S.', 'Nipaz, V.', 'Guaraca, V.', 'Coloma, J.']",2021-02-26,pubmed,33630751,8045656,False,True,False,True,True,False,False
10.1101/2021.10.01.462840,Structure selected RBM immunogens prime polyclonal memory responses that neutralize SARS-CoV-2 variants of concern,bioRxiv : the preprint server for biology,"['Almanza, G.', 'Kouznetsova, V.', 'Clark, A.E.', 'Olmedillas, E.', 'Castro, A.', 'Tsigelny, I.F.', 'Wu, Y.', 'Gao, G.F.', 'OllmannSaphire, E.', 'Carlin, A.F.', 'Zanetti, M.']",2021-10-04,biorxiv,,,True,True,False,True,False,False,False
10.1101/2020.12.21.423787,Binding strength and hydrogen bond numbers between Covid-19 RBD and HVR of antibody,bioRxiv : the preprint server for biology,"['Wang, R.T.', 'Xu, A.F.', 'Zhou, Q.', 'Song, T.', 'Xu, K.J.', 'Xu, G.']",2020-12-21,biorxiv,,,False,False,False,True,False,False,False
10.3390/ijms222413445,Protein-Based Nanoparticle Vaccines for SARS-CoV-2.,International journal of molecular sciences,"['Sung, H.', 'Kim, N.', 'Lee, Y.', 'Lee, E.J.']",2021-12-25,pubmed,34948241,8703262,False,True,False,True,True,False,False
10.1101/2020.08.24.264895,The influence of major S protein mutations of SARS-CoV-2 on the potential B cell epitopes,bioRxiv : the preprint server for biology,"['Yuan, X.', 'Li, L.']",2020-08-24,biorxiv,,,True,True,True,True,False,False,True
10.1101/2020.04.15.036285,Genome based Evolutionary study of SARS-CoV-2 towards the Prediction of Epitope Based Chimeric Vaccine,bioRxiv : the preprint server for biology,"['Akhand, M.R.N.', 'Azim, K.F.', 'Hoque, S.F.', 'Moli, M.A.', 'Joy, B.D.', 'Akter, H.', 'Afif, I.K.', 'Ahmed, N.', 'Hasan, M.']",2020-04-15,biorxiv,,,False,True,True,True,True,False,False
10.1016/0042-6822(91)90135-x,Residues involved in the antigenic sites of transmissible gastroenteritis coronavirus S glycoprotein.,Virology,"['Gebauer, F.', 'Posthumus, W.P.', 'Correa, I.', 'Su, C.', 'Smerdou, C.', 'S, C.M.', 'Lenstra, J.A.', 'Meloen, R.H.', 'Enjuanes, L.']",1991-07-01,pubmed,1711257,7130809,False,True,False,True,True,False,False
10.2215/CJN.11820921,Neutralization of SARS-CoV-2 Variants of Concern in Kidney Transplant Recipients after Standard COVID-19 Vaccination.,Clinical journal of the American Society of Nephrology : CJASN,"['Benning, L.', 'Morath, C.', 'Bartenschlager, M.', 'Nusshag, C.', 'K, F.', 'Buylaert, M.', 'Schaier, M.', 'Beimler, J.', 'Klein, K.', 'Grenz, J.', 'Reichel, P.', 'Hidmark, A.', 'Ponath, G.', 'T, M.', 'Reineke, M.', 'Rieger, S.', 'T, B.', 'Schnitzler, P.', 'Zeier, M.', 'S, C.', 'Bartenschlager, R.', 'Speer, C.']",2021-12-24,pubmed,34937771,8763153,False,True,False,True,True,False,False
10.1016/j.vaccine.2021.02.003,Avidity assay to test functionality of anti-SARS-Cov-2 antibodies.,Vaccine,"['Gaspar, E.B.', 'Gaspari, E.D.']",2021-02-15,pubmed,33581919,7857056,False,True,False,True,True,False,False
10.1002/ana.26309,B Cell Depletion and SARS-CoV-2 Vaccine Responses in Neuroimmunologic Patients.,Annals of neurology,"['Kornek, B.', 'Leutmezer, F.', 'Rommer, P.S.', 'Koblischke, M.', 'Schneider, L.', 'Haslacher, H.', 'Thalhammer, R.', 'Zimprich, F.', 'Zulehner, G.', 'Bsteh, G.', 'Dal-Bianco, A.', 'Rinner, W.', 'Zebenholzer, K.', 'Wimmer, I.', 'Steinmaurer, A.', 'Graninger, M.', 'Mayer, M.', 'Roedl, K.', 'Berger, T.', 'Winkler, S.', 'Aberle, J.H.', 'Tobudic, S.']",2022-01-25,pubmed,35067959,,False,False,False,True,False,False,False
10.3390/s21134617,SARS-CoV-2 Receptor Binding Domain as a Stable-Potential Target for SARS-CoV-2 Detection by Surface-Enhanced Raman Spectroscopy.,"Sensors (Basel, Switzerland)","['Awada, C.', 'Abdullah, M.M.B.', 'Traboulsi, H.', 'Dab, C.', 'Alshoaibi, A.']",2021-07-21,pubmed,34283162,8271591,False,True,False,True,True,False,False
10.1007/BF01314983,Serological relation between calf diarrhea coronavirus and hemagglutinating encephalomyelitis virus.,Archives of virology,"['Sato, K.', 'Inaba, Y.', 'Matumoto, M.']",1980-01-01,pubmed,6159873,7087317,False,True,False,True,True,False,False
10.1099/vir.0.80111-0,Protective humoral responses to severe acute respiratory syndrome-associated coronavirus: implications for the design of an effective protein-based vaccine.,The Journal of general virology,"['Pang, H.', 'Liu, Y.', 'Han, X.', 'Xu, Y.', 'Jiang, F.', 'Wu, D.', 'Kong, X.', 'Bartlam, M.', 'Rao, Z.']",2004-09-28,pubmed,15448374,,False,False,False,True,False,False,False
10.1101/2022.02.18.481058,Potent Neutralization of Omicron and other SARS-CoV-2 Variants of Concern by Biparatopic Human VH Domains.,bioRxiv : the preprint server for biology,"['Chen, C.', 'Saville, J.W.', 'Marti, M.M.', 'Sch, A.', 'Cheng, M.H.', 'Mannar, D.', 'Zhu, X.', 'Berezuk, A.M.', 'Banerjee, A.', 'Sobolewski, M.D.', 'Kim, A.', 'Treat, B.R.', 'Castanha, P.M.D.S.', 'Enick, N.', 'McCormick, K.D.', 'Liu, X.', 'Adams, C.', 'Hines, M.G.', 'Sun, Z.', 'Chen, W.', 'Jacobs, J.L.', 'Barratt-Boyes, S.M.', 'Mellors, J.W.', 'Baric, R.S.', 'Bahar, I.', 'Dimitrov, D.S.', 'Subramaniam, S.', 'Martinez, D.R.', 'Li, W.']",2022-02-24,pubmed,35194603,8863138,False,True,False,True,True,False,False
10.3390/cells10061434,SARS-CoV-2 Entry: At the Crossroads of CD147 and ACE2.,Cells,"['Fenizia, C.', 'Galbiati, S.', 'Vanetti, C.', 'Vago, R.', 'Clerici, M.', 'Tacchetti, C.', 'Daniele, T.']",2021-07-03,pubmed,34201214,8226513,True,True,False,True,True,False,True
10.1016/j.pep.2022.106075,Addition of arginine hydrochloride and proline to the culture medium enhances recombinant protein expression in Brevibacillus choshinensis: The case of RBD of SARS-CoV-2 spike protein and its antibody.,Protein expression and purification,"['Matsunaga, R.', 'Tsumoto, K.']",2022-03-02,pubmed,35231586,8881763,False,True,False,True,True,False,False
10.1101/2020.07.26.222232,An alternative binding mode of IGHV3-53 antibodies to the SARS-CoV-2 receptor binding domain.,bioRxiv : the preprint server for biology,"['Wu, N.C.', 'Yuan, M.', 'Liu, H.', 'Lee, C.D.', 'Zhu, X.', 'Bangaru, S.', 'Torres, J.L.', 'Caniels, T.G.', 'Brouwer, P.J.M.', 'Gils, M.J.', 'Sanders, R.W.', 'Ward, A.B.', 'Wilson, I.A.']",2020-08-04,pubmed,32743580,7386498,True,True,False,True,True,False,False
10.1016/j.mehy.2020.110151,Why do children seem to be more protected against COVID-19? A hypothesis.,Medical hypotheses,"['Sposato, B.', 'Scalese, M.']",2020-08-09,pubmed,32763661,7392903,False,True,False,True,True,False,False
10.1093/clinchem/hvab283,Evaluation of neutralizing antibodies against SARS-CoV-2 variants after infection and vaccination using a multiplexed surrogate virus neutralization test.,Clinical chemistry,"['Lynch, K.L.', 'Zhou, S.', 'Kaul, R.', 'Walker, R.', 'Wu, A.H.']",2022-01-13,pubmed,35018416,8755391,False,True,False,True,True,False,False
10.1101/2020.05.12.088716,Potent neutralizing antibodies from COVID-19 patients define multiple targets of vulnerability,bioRxiv : the preprint server for biology,"['Brouwer, P.', 'Caniels, T.', 'vanStraten, K.', 'Snitselaar, J.', 'Aldon, Y.', 'Bangaru, S.', 'Torres, J.', 'Okba, N.', 'Claireaux, M.', 'Kerster, G.', 'Bentlage, A.', 'vanHaaren, M.', 'Guerra, D.', 'Burger, J.', 'Schermer, E.', 'Verheul, K.', 'vanderVelde, N.', 'vanderKooi, A.', 'vanSchooten, J.', 'vanBreemen, M.', 'Bijl, T.', 'Sliepen, K.', 'Aartse, A.', 'Derking, R.', 'Bontjer, I.', 'Kootstra, N.', 'Wiersinga, J.', 'Vidarsson, G.', 'Haagmans, B.', 'Ward, A.', 'deBree, G.', 'Sanders, R.', 'vanGils, M.']",2020-05-12,biorxiv,,,False,True,False,True,False,False,False
10.1111/bjh.17841,Myeloma patients with COVID-19 have superior antibody responses compared to patients fully vaccinated with the BNT162b2 vaccine.,British journal of haematology,"['Gavriatopoulou, M.', 'Terpos, E.', 'Malandrakis, P.', 'Ntanasis-Stathopoulos, I.', 'Briasoulis, A.', 'Gumeni, S.', 'Fotiou, D.', 'Papanagnou, E.', 'Migkou, M.', 'Theodorakakou, F.', 'Eleutherakis-Papaiakovou, E.', 'Kanellias, N.', 'Trougakos, I.P.', 'Kastritis, E.', 'Dimopoulos, M.']",2021-09-17,pubmed,34528249,8653218,False,True,False,True,True,False,False
10.1101/2021.08.02.454771,Regional Variant Analysis of Spike Glycoprotein Mutations of SARS-CoV-2 and Its Implications in COVID-19 Pandemic Control,bioRxiv : the preprint server for biology,"['PunnothPoonkuzhi, N.', 'Elayadeth-Meethal, M.', 'Ollakkot, S.', 'UK, I.', 'SaheerKuruniyan, M.']",2021-08-02,biorxiv,,,False,True,False,True,False,False,True
10.1093/jmcb/mjaa070,The development of neutralizing antibodies against SARS-CoV-2 and their common features.,Journal of molecular cell biology,"['Liu, L.D.', 'Lian, C.', 'Yeap, L.', 'Meng, F.']",2020-12-31,pubmed,33377928,7799018,False,True,False,True,True,False,False
10.1182/blood.2021012938,Anti-platelet factor 4 antibodies causing VITT do not cross-react with SARS-CoV-2 spike protein.,Blood,"['Greinacher, A.', 'Selleng, K.', 'Mayerle, J.', 'Palankar, R.', 'Wesche, J.', 'Reiche, S.', 'Aebischer, A.', 'Warkentin, T.E.', 'Muenchhoff, M.', 'Hellmuth, J.C.', 'Keppler, O.T.', 'Duerschmied, D.', 'Lother, A.', 'Rieg, S.', 'Gawaz, M.P.', 'Mueller, K.A.L.', 'Scheer, C.S.', 'Napp, M.', 'Hahnenkamp, K.', 'Lucchese, G.', 'Vogelgesang, A.', 'Fl, A.', 'Lovreglio, P.', 'Stufano, A.', 'Marschalek, R.', 'Thiele, T.', 'None, N.']",2021-07-20,pubmed,34280256,8294553,False,True,False,True,True,False,False
10.1093/ofid/ofab061,Establishment of Monoclonal Antibody Standards for Quantitative Serological Diagnosis of SARS-CoV-2 in Low-Incidence Settings.,Open forum infectious diseases,"['Thomas, A.', 'Messer, W.B.', 'Hansel, D.E.', 'Streblow, D.N.', 'Kazmierczak, S.C.', 'Lyski, Z.L.', 'Lu, Z.', 'Slifka, M.K.']",2021-03-17,pubmed,33723513,7928679,False,True,False,True,True,False,False
10.1016/j.vaccine.2006.06.084,Immunogenicity of a receptor-binding domain of SARS coronavirus spike protein in mice: implications for a subunit vaccine.,Vaccine,"['Zakhartchouk, A.N.', 'Sharon, C.', 'Satkunarajah, M.', 'Auperin, T.', 'Viswanathan, S.', 'Mutwiri, G.', 'Petric, M.', 'See, R.H.', 'Brunham, R.C.', 'Finlay, B.B.', 'Cameron, C.', 'Kelvin, D.J.', 'Cochrane, A.', 'Rini, J.M.', 'Babiuk, L.A.']",2006-08-22,pubmed,16919855,7115608,False,True,False,True,True,False,False
10.1007/978-1-4684-5823-7_29,Expression of the spike protein of murine coronavirus JHM using a baculovirus vector.,Advances in experimental medicine and biology,"['Taguchi, F.', 'Yoden, S.', 'Siddell, S.', 'Kikuchi, T.']",1990-01-01,pubmed,,,False,False,False,True,True,False,False
10.1101/2020.12.04.410589,Elevated SARS-CoV-2 Antibodies Distinguish Severe Disease in Early COVID-19 Infection.,bioRxiv : the preprint server for biology,"['Haddad, N.S.', 'Nguyen, D.C.', 'Kuruvilla, M.E.', 'Morrison-Porter, A.', 'Anam, F.', 'Cashman, K.S.', 'Ramonell, R.P.', 'Kyu, S.', 'Saini, A.S.', 'Cabrera-Mora, M.', 'Derrico, A.', 'Alter, D.', 'Roback, J.D.', 'Horwath, M.', 'Keefe, J.B.O.', 'Wu, H.M.', 'Wong, A.I.', 'Dretler, A.W.', 'Gripaldo, R.', 'Lane, A.N.', 'Wu, H.', 'Lee, S.', 'Hernandez, M.', 'Engineer, V.', 'Varghese, J.', 'Le, S.', 'Sanz, I.', 'Daiss, J.L.', 'Lee, F.E.']",2020-12-11,pubmed,33299998,7724666,False,True,False,True,True,False,False
10.1101/2020.09.18.304493,An immunodominance hierarchy exists in CD8+ T cell responses to HLA-A*02:01-restricted epitopes identified from the non-structural polyprotein 1a of SARS-CoV-2.,bioRxiv : the preprint server for biology,"['Takagi, A.', 'Matsui, M.']",2020-09-19,biorxiv,,,True,False,True,True,False,False,False
10.3390/v13030439,"Structure-Function Analyses of New SARS-CoV-2 Variants B.1.1.7, B.1.351 and B.1.1.28.1: Clinical, Diagnostic, Therapeutic and Public Health Implications.",Viruses,"['Singh, J.', 'Samal, J.', 'Kumar, V.', 'Sharma, J.', 'Agrawal, U.', 'Ehtesham, N.Z.', 'Sundar, D.', 'Rahman, S.A.', 'Hira, S.', 'Hasnain, S.E.']",2021-04-04,pubmed,33803400,8000172,False,True,False,True,True,False,False
10.1007/s00108-020-00853-6,[The virology of SARS-CoV-2].,Der Internist,"['Hoehl, S.', 'Ciesek, S.']",2020-07-25,pubmed,32705298,7376823,False,True,False,True,True,False,False
10.1016/j.jmsacl.2021.09.001,MALDI-ToF protein profiling as a potential rapid diagnostic platform for COVID-19.,Journal of mass spectrometry and advances in the clinical lab,"['Chivte, P.', 'Casse, Z.L.', 'Seethi, V.D.R.', 'Bharti, P.', 'Bland, J.', 'Kadkol, S.S.', 'Gaillard, E.R.']",2021-09-15,pubmed,34518823,8426322,False,True,False,True,True,False,False
10.1101/2020.03.11.987958,A human monoclonal 1 antibody blocking SARS-CoV-2 infection,bioRxiv : the preprint server for biology,"['Wang, C.', 'Li, W.', 'Drabek, D.', 'Okba, N.M.A.', 'vanHaperen, R.', 'Osterhaus, A.D.M.E.', 'vanKuppeveld, F.J.M.', 'Haagmans, B.L.', 'Grosveld, F.', 'Bosch, B.-J.']",2020-03-12,biorxiv,,,True,True,False,True,False,False,False
10.1128/JVI.64.3.1407-1409.1990,Early death after feline infectious peritonitis virus challenge due to recombinant vaccinia virus immunization.,Journal of virology,"['Vennema, H.', 'Groot, R.J.', 'Harbour, D.A.', 'Dalderup, M.', 'Gruffydd-Jones, T.', 'Horzinek, M.C.', 'Spaan, W.J.']",1990-03-01,pubmed,2154621,,False,False,False,True,False,False,False
10.1101/2021.08.05.455212,"Vaccination with B.1.1.7, B.1.351 and P.1 variants protects mice from challenge with wild type SARS-CoV-2",bioRxiv : the preprint server for biology,"['Amanat, F.', 'Strohmeier, S.', 'Meade, P.', 'Dambrauskas, N.', 'Mühlemann, B.', 'Smith, D.J.', 'Vigdorovich, V.', 'Sather, D.N.', 'Coughlan, L.', 'Krammer, F.']",2021-08-05,biorxiv,,,False,False,False,True,False,False,False
10.1101/2020.11.13.378257,Intranasal Administration of ACIS KEPTIDE™ Prevents SARS-CoV2-Induced Acute Toxicity in K18-hACE2 Humanized Mouse Model of COVID-19: A Mechanistic Insight for the Prophylactic Role of KEPTIDE™ in COVID-19,bioRxiv : the preprint server for biology,"['Gottschalk, G.', 'Keating, J.F.', 'Kesler, K.', 'Knox, K.', 'Roy, A.']",2020-11-16,biorxiv,,,False,False,False,True,False,False,False
10.1128/JVI.71.1.383-391.1997,Mouse hepatitis virus is cleared from the central nervous systems of mice lacking perforin-mediated cytolysis.,Journal of virology,"['Lin, M.T.', 'Stohlman, S.A.', 'Hinton, D.R.']",1997-01-01,pubmed,8985361,,False,False,False,True,False,False,False
